followers,following,posts,has_profile_pic,username_length
1000,955,32,1,0.27
2740,533,286,1,0.0
159,98,13,1,0.1
414,651,679,1,0.0
151,126,6,1,0.0
669987,150,344,1,0.0
122,177,16,1,0.0
1078,76,33,1,0.0
1824,2713,72,1,0.0
12945,813,213,1,0.0
9884,1173,648,1,0.0
1188,365,76,1,0.0
945,583,298,1,0.0
12033,248,117,1,0.0
1962,2701,487,1,0.0
50374,900,254,1,0.0
7007,289,59,1,0.0
1128,694,1570,1,0.29
34670,1878,378,1,0.0
2338,776,526,1,0.0
3516,999,228,1,0.0
1809,416,35,1,0.0
427,470,281,1,0.0
759,956,285,1,0.0
15338538,61,148,1,0.0
109,179,57,1,0.0
536,665,17,1,0.0
121354,176,511,1,0.0
2284,130,230,1,0.0
186,174,15,1,0.0
687,1517,980,1,0.0
966,952,53,1,0.13
177,170,111,1,0.0
744,967,719,1,0.0
542073,674,1164,1,0.0
5315651,2703,497,1,0.18
267,328,18,1,0.33
691,680,50,1,0.0
120,112,74,1,0.0
105,98,8,1,0.0
890969,11,7389,1,0.0
361853,583,420,1,0.0
3678,1359,433,1,0.0
92192,16,156,1,0.0
12397719,8,4494,1,0.0
380510,0,751,1,0.0
132,183,4,1,0.0
162,208,27,1,0.0
369,546,91,1,0.0
1476,666,262,1,0.0
1798,461,274,1,0.0
2118,1109,271,1,0.0
812,432,713,1,0.0
7217,761,200,1,0.0
313,376,12,1,0.0
64,261,26,1,0.12
1759,643,75,1,0.0
404,283,94,1,0.0
1843,598,63,1,0.0
320377,228,69,1,0.12
108,97,12,1,0.0
384,447,63,1,0.0
60,100,19,1,0.19
802,151,100,1,0.0
51145,528,661,1,0.0
1582,1882,149,1,0.0
223,266,22,1,0.0
18842,744,400,1,0.0
10240,1255,149,1,0.0
539,639,122,1,0.0
399,452,74,1,0.33
581,568,13,1,0.0
166,163,8,1,0.0
417,362,77,1,0.0
266,324,5,1,0.2
33,37,3,1,0.0
494,998,106,1,0.0
178,245,14,1,0.0
470,288,172,1,0.0
807,675,111,1,0.33
162,256,38,1,0.0
417,395,19,1,0.06
17303,360,227,1,0.0
1439,629,221,1,0.0
91446,526,580,1,0.0
824,489,40,1,0.0
741,1440,101,1,0.0
1267,899,157,1,0.0
4594,1713,197,1,0.0
1135,899,61,1,0.0
1926,1410,698,1,0.0
1068,1925,49,1,0.0
815,748,85,1,0.0
565,469,77,1,0.0
2556,1074,58,1,0.0
1312,935,232,1,0.0
699,599,20,1,0.0
4328,418,98,1,0.0
2487,999,559,1,0.0
673,438,189,1,0.0
730,413,388,1,0.0
59,55,28,1,0.0
289,222,156,1,0.0
19,20,6,1,0.0
3551,173,69,1,0.0
19512,591,775,1,0.0
2756,638,205,1,0.0
5406,589,209,1,0.0
459,390,334,1,0.0
218,75,9,1,0.0
796,1155,6,1,0.0
1113,1854,416,1,0.0
138,208,13,1,0.2
205,164,33,1,0.44
331,333,1,1,0.0
748,4659,711,1,0.1
490,1093,114,1,0.0
456,413,16,1,0.0
971,2047,107,1,0.0
497,438,5,1,0.24
99,132,7,1,0.14
193,413,21,1,0.0
492,689,65,1,0.0
167,164,10,1,0.29
99,178,59,1,0.0
916,1142,137,1,0.0
196,209,10,1,0.0
765,424,571,1,0.0
45,80,24,1,0.18
634,719,328,1,0.0
1383,7500,161,1,0.0
650,703,280,1,0.0
484,3296,92,1,0.0
200,270,31,1,0.0
192,65,0,1,0.0
553,610,25,1,0.0
27477,7202,921,1,0.0
464,1039,1020,1,0.0
1057,524,301,1,0.0
413,138,9,1,0.0
389,806,158,1,0.0
505,503,43,1,0.29
941,1208,24,1,0.0
2598,802,60,1,0.0
59,111,4,1,0.0
622,475,220,1,0.0
2719,1061,1159,1,0.0
216,305,8,1,0.36
881,375,396,1,0.22
870,72,38,1,0.08
265,371,1,1,0.0
1204,633,2,1,0.15
655,1016,43,1,0.0
1662,1065,131,1,0.0
14222,7399,7,1,0.14
483,1216,57,1,0.0
1204,2928,36,1,0.0
408,635,91,1,0.0
303,417,8,1,0.0
125,101,11,1,0.1
229,383,252,1,0.09
357,489,15,1,0.15
137,96,74,1,0.0
255,535,83,1,0.0
87,399,126,1,0.0
326946,3,663,1,0.0
114,446,0,1,0.0
167,387,10,1,0.0
1247,1196,8,1,0.0
585,1364,24,1,0.0
135,232,65,1,0.0
722,261,64,1,0.0
714,1159,664,1,0.45
39867,4664,130,1,0.0
533,1060,131,0,0.0
1158,3932,917,1,0.0
45834,280,2,1,0.0
876,529,142,1,0.0
3003,455,165,1,0.09
1298,407,80,1,0.09
3800,278,32,1,0.0
1358,127,81,1,0.0
6741307,111,334,1,0.0
791,456,8,1,0.38
732075,363,373,1,0.0
373,360,56,1,0.0
162,311,7,1,0.0
309,364,12,1,0.0
135,176,5,1,0.0
244,172,77,1,0.0
67,149,93,1,0.18
984,76,192,1,0.0
751,1223,8,1,0.0
781,529,145,1,0.0
1761,905,135,1,0.0
318,523,18,1,0.14
5282,652,222,1,0.0
5282,652,222,1,0.0
228,238,5,1,0.0
393,502,119,1,0.0
875,754,201,1,0.0
173,373,12,1,0.0
3896490,351,301,1,0.0
106,133,20,1,0.0
206,32,112,1,0.08
259,1371,54,1,0.0
1013,996,98,1,0.0
738,544,16,1,0.11
1008,517,133,1,0.0
2441,396,142,1,0.0
416,292,63,1,0.0
516,463,70,1,0.0
8711,345,403,1,0.0
433,584,15,1,0.0
18515,1000,990,1,0.0
70,67,12,1,0.0
5863,157,26,1,0.22
1677,716,2,1,0.36
617,272,24,1,0.0
31182,414,411,1,0.0
1152,292,217,1,0.0
8578,164,156,1,0.15
4347,748,389,1,0.0
319,335,8,1,0.0
189,177,3,1,0.0
743,331,22,1,0.0
11204,124,59,1,0.18
419,271,144,1,0.0
81,268,2,1,0.0
947,582,78,1,0.0
206,333,28,1,0.0
541,701,111,1,0.0
392,237,6,1,0.18
4177,3678,4,1,0.22
265,321,31,1,0.17
272,1486,86,1,0.0
425,917,240,1,0.0
150,178,11,1,0.0
711,673,44,1,0.0
89,121,9,1,0.0
742,653,62,1,0.0
96,50,0,1,0.0
77,107,15,1,0.0
195,395,53,1,0.0
9,13,2,1,0.0
10794,3164,52,1,0.0
104,15,1,1,0.19
318,569,62,1,0.0
355,137,247,1,0.18
99,488,9,1,0.31
300,372,13,1,0.0
139,61,204,1,0.15
13,77,0,1,0.0
606,430,51,1,0.22
428,333,15,1,0.0
494,545,108,1,0.0
1261,2187,353,1,0.24
68,87,5,1,0.0
205558,53,560,1,0.0
668,609,85,1,0.0
1456,555,95,1,0.0
410,387,14,1,0.14
298,555,52,1,0.0
254,345,7,1,0.0
1070,1072,197,1,0.0
1167,618,89,1,0.17
335,300,34,1,0.0
346,426,283,1,0.08
1746,1631,65,1,0.0
268,370,126,1,0.0
537,1002,327,1,0.0
805,488,42,1,0.0
1504,52,36,1,0.0
104,119,3,1,0.0
380,462,53,1,0.0
257,346,7,1,0.0
1775,7500,103,1,0.0
1456,1200,241,1,0.3
265,264,103,1,0.0
1051,694,93,1,0.0
77,34,1,1,0.11
220,323,16,0,0.0
178,81,32,1,0.07
728,1213,1232,1,0.0
668,294,75,1,0.0
406,408,5,1,0.0
37,22,3,1,0.0
56,114,30,1,0.0
90,333,0,0,0.22
60,31,0,0,0.38
271,445,2,0,0.43
1,80,3,1,0.0
158,309,13,1,0.5
39,64,0,0,0.31
0,11,1,0,0.22
0,853,0,0,0.0
0,23,10,1,0.25
12,5,0,0,0.0
10,18,0,0,0.33
1,34,0,0,0.33
1,8,0,0,0.0
0,0,0,0,0.0
31,213,0,0,0.12
5,10,0,0,0.18
18,58,5,0,0.5
12,77,0,1,0.5
6,37,0,0,0.5
47,10,0,1,0.57
33,4,0,0,0.45
4,279,141,0,0.5
5,15,6,0,0.57
0,44,1,1,0.0
5,17,0,0,0.44
107,42,1,0,0.0
8,60,39,1,0.88
48,6,0,0,0.0
2,215,9,0,0.22
51,126,0,0,0.0
5,48,21,1,0.0
0,802,0,0,0.0
26,46,0,0,0.55
0,601,0,0,0.07
76,168,3,1,0.8
165,689,0,0,0.0
115,230,0,0,0.0
6,15,0,0,0.31
24,49,0,0,0.4
40,236,0,0,0.33
32,52,6,0,0.0
0,35,0,0,0.33
21,44,0,0,0.36
79,767,1,1,0.55
8,37,4,1,0.41
49,79,0,1,0.43
31,91,0,0,0.11
15,41,0,1,0.0
4,3,0,1,0.25
0,229,0,1,0.44
316,1165,17,1,0.3
0,0,0,0,0.1
3,1,1,0,0.0
2,30,0,0,0.0
221,244,7,1,0.29
181,935,13,0,0.0
9,167,0,0,0.0
2,0,0,0,0.67
25,86,0,1,0.31
26,129,5,1,0.0
15,305,124,1,0.89
59,48,9,1,0.0
7,47,5,0,0.2
40,179,2,0,0.12
51,41,0,0,0.0
133,750,150,1,0.0
25,39,29,1,0.0
864,3646,108,1,0.18
73,35,77,1,0.0
184,170,3,1,0.38
161,333,7,1,0.43
42,694,3,1,0.22
279,1124,131,1,0.0
219,155,40,1,0.0
18,106,4,1,0.24
106,171,84,1,0.44
34,108,299,1,0.5
42,26,11,0,0.0
1,13,0,1,0.16
38,68,0,0,0.89
34,44,1,1,0.58
23,151,4,1,0.29
23,37,0,1,0.3
83,139,0,0,0.5
25,28,0,0,0.4
13,38,3,1,0.0
64,60,0,0,0.25
90,69,0,0,0.36
82,6,0,0,0.33
140,319,0,0,0.0
0,29,0,0,0.36
51,420,1,1,0.3
38,87,7,1,0.12
21,733,3,0,0.33
5,121,0,1,0.38
21,45,0,1,0.4
124,249,5,0,0.57
5,56,0,0,0.22
2,16,1,1,0.38
42,46,0,0,0.64
48,45,12,1,0.33
32,25,0,0,0.31
0,71,0,0,0.0
0,0,0,0,0.25
10,104,1,1,0.12
19,31,92,1,0.38
138,99,0,0,0.31
11,157,0,0,0.2
1,64,0,0,0.0
39,40,0,0,0.42
446,1762,21,1,0.0
9,82,7,1,0.57
589,2980,9,0,0.0
27,63,0,0,0.06
143,500,14,1,0.0
0,177,0,0,0.0
0,130,0,0,0.0
124,135,3,0,0.21
12,192,0,1,0.07
16,36,0,0,0.42
1,2,1,0,0.21
120,181,1,0,0.38
0,71,0,0,0.0
26,8,1,0,0.0
57,167,0,1,0.14
13,22,1,0,0.15
1031,208,28,1,0.0
42,146,0,1,0.18
70,64,25,1,0.33
0,8,0,1,0.18
46,92,0,1,0.3
834,4118,111,1,0.43
389,392,2,0,0.0
43,221,0,1,0.33
23,40,0,0,0.33
5,82,0,0,0.0
4,25,0,0,0.71
17,44,0,0,0.5
182,227,5,1,0.25
108,304,10,1,0.33
43,123,3,0,0.5
77,8,19,0,0.29
32,87,0,0,0.09
0,11,0,0,0.25
40,66,8,1,0.13
53,303,2,0,0.33
67,90,10,1,0.14
122,336,29,1,0.0
18,49,0,0,0.0
24,88,0,0,0.4
35,136,2,1,0.0
119,151,3,1,0.4
6,24,5,1,0.1
34,26,0,0,0.43
272,295,63,1,0.0
53,137,1,1,0.44
818,618,4,1,0.33
82,74,34,1,0.0
40,233,0,1,0.38
21,76,0,1,0.4
59,38,6,1,0.33
102,109,2,1,0.12
576,474,7,1,0.29
19,16,0,0,0.57
66,161,0,1,0.0
310,894,5,1,0.0
16,17,0,1,0.0
15,4,0,0,0.0
47,98,0,1,0.07
88,61,4,1,0.0
51,59,1,1,0.27
505,2330,26,1,0.0
159,433,9,1,0.36
77,1269,4,1,0.29
61,76,4,1,0.83
7,14,0,0,0.67
11,60,0,1,0.38
49,22,0,0,0.58
15,595,0,0,0.0
1,9,1,1,0.2
17,1,0,0,0.0
15,1,0,0,0.29
358,1990,28,1,0.25
20,7,0,0,0.25
50,32,1,0,0.0
57,76,0,0,0.0
12,15,2,0,0.31
218,792,2,1,0.67
78,98,9,0,0.33
16,23,1,0,0.47
39,17,8,0,0.36
15,1,0,0,0.0
30,48,0,0,0.4
85,638,0,0,0.33
77,747,0,0,0.33
49,82,0,0,0.55
16,24,0,0,0.27
8,6,0,0,0.44
34,22,2,0,0.44
45,83,2,0,0.47
49,0,0,0,0.33
15,5,0,0,0.0
92,403,0,0,0.25
75,26,0,1,0.91
10,0,0,0,0.44
23,26,0,1,0.12
22,11,0,0,0.2
55,46,0,0,0.24
16,0,0,0,0.27
7,20,0,0,0.25
86,0,0,0,0.28
3,11,0,0,0.38
12,30,0,0,0.57
14,56,1,1,0.44
24,22,0,0,0.47
52,1,0,0,0.0
16,27,1,0,0.44
17,20,4,0,0.44
50,49,0,0,0.57
136,1029,5,0,0.54
178,1417,10,1,0.43
50,39,1,0,0.89
207,2426,2,1,0.38
178,828,0,0,0.36
16,26,0,0,0.0
